Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí),ROAS
2020-07-04,Google,TienTran,Discovery,276845,15201,0.0,572,0,0,0,3,2.9130434782608696,1453608.6956521738,499000,92281.66666666667,0.9710144927536232,18212.288665219392,483.99475524475525,0.0,276845.0,5.250622896032704
2020-07-04,Google,TienTran,PerMax,106252,7634,0.0,88,0,0,0,2,2.0,998000.0,998000,53126.0,1.0,13918.260413937647,1207.409090909091,0.0,106252.0,9.392764371494184
2020-07-04,Google,TienTran,Guu-Discovery,107430,6515,0.0,249,0,0,0,1,1.0,499000.0,499000,107430.0,1.0,16489.639293937067,431.4457831325301,0.0,107430.0,4.644885041422322
2020-07-05,FB,NgocNgo,CVS,1159284,16971,15816.0,85,3,9,0,40,29.869565217391305,14904913.043478262,13473000,28982.1,0.7467391304347826,68309.70479052502,13638.635294117646,128809.33333333333,1252026.72,12.856998840213668
2020-07-05,FB,GiangPhan,CVS,3879086,44832,39997.0,246,9,11,0,34,30.956521739130434,16204608.695652174,15250000,114090.76470588235,0.9104859335038363,86524.93754461099,15768.642276422765,352644.1818181818,4189412.8800000004,4.1774296047193005
2020-07-05,FB,AnhNguyen08,CVS,230608,2220,2018.0,31,0,3,0,1,1.0,499000.0,499000,230608.0,1.0,103877.47747747749,7438.967741935484,76869.33333333333,249056.64,2.1638451398043435
2020-07-05,Google,TienTran,Search,221450,3470,0.0,123,0,0,0,4,4.0,1996000.0,1996000,55362.5,1.0,63818.44380403458,1800.4065040650407,0.0,221450.0,9.013321291487921
2020-07-05,Google,TienTran,Discovery,377540,17634,0.0,644,0,0,0,2,1.9130434782608696,954608.695652174,0,188770.0,0.9565217391304348,21409.77656799365,586.2422360248447,0.0,377540.0,2.5284968364999045
2020-07-05,Google,TienTran,Guu-Search,42776,366,0.0,15,0,0,0,1,1.0,499000.0,499000,42776.0,1.0,116874.3169398907,2851.733333333333,0.0,42776.0,11.665419861604638
2020-07-06,FB,NgocNgo,CVS,2118685,19143,18308.0,77,9,3,0,29,23.869565217391305,12388217.391304348,9980000,73058.10344827586,0.823088455772114,110676.74868098,27515.38961038961,706228.3333333334,2288179.8000000003,5.847125642228244
